"x","y_obs","weight","y_calc","y_bkg"
19.93,43.0,0.02326,45.938,44.284
19.946,42.0,0.02381,45.853,44.281
19.962,39.0,0.02564,45.775,44.277
19.978,37.0,0.02703,45.703,44.274
19.994,39.0,0.02564,45.636,44.271
20.01,39.0,0.02564,45.574,44.268
20.026,49.0,0.02041,45.516,44.265
20.042,41.0,0.02439,45.462,44.262
20.058,28.0,0.03571,45.412,44.258
20.074,43.0,0.02326,45.365,44.255
20.09,50.0,0.02,45.321,44.252
20.106,48.0,0.02083,45.279,44.249
20.122,40.0,0.025,45.24,44.246
20.138,54.0,0.01852,45.203,44.243
20.154,59.0,0.01695,45.168,44.239
20.17,46.0,0.02174,45.135,44.236
20.186,56.0,0.01786,45.104,44.233
20.202,53.0,0.01887,45.074,44.23
20.218,52.0,0.01923,45.046,44.227
20.234,55.0,0.01818,45.019,44.224
20.25,74.0,0.01351,44.994,44.22
20.266,115.0,0.0087,44.969,44.217
20.282,88.0,0.01136,44.946,44.214
20.298,100.0,0.01,44.924,44.211
20.314,102.0,0.0098,44.903,44.208
20.33,64.0,0.01562,44.882,44.204
20.346,102.0,0.0098,44.863,44.201
20.362,70.0,0.01429,44.844,44.198
20.378,57.0,0.01754,44.826,44.195
20.394,44.0,0.02273,44.808,44.192
20.41,63.0,0.01587,44.792,44.189
20.426,57.0,0.01754,44.775,44.185
20.442,47.0,0.02128,44.76,44.182
20.458,27.0,0.03704,44.745,44.179
20.474,36.0,0.02778,44.73,44.176
20.49,41.0,0.02439,44.716,44.172
20.506,38.0,0.02632,44.702,44.169
20.522,65.0,0.01538,44.689,44.166
20.538,51.0,0.01961,44.676,44.163
20.554,39.0,0.02564,44.664,44.16
20.57,52.0,0.01923,44.652,44.156
20.586,46.0,0.02174,44.64,44.153
20.602,39.0,0.02564,44.629,44.15
20.618,52.0,0.01923,44.618,44.147
20.634,48.0,0.02083,44.607,44.144
20.65,44.0,0.02273,44.596,44.14
20.666,42.0,0.02381,44.586,44.137
20.682,42.0,0.02381,44.576,44.134
20.698,41.0,0.02439,44.566,44.131
20.714,35.0,0.02857,44.557,44.127
20.73,37.0,0.02703,44.548,44.124
20.746,38.0,0.02632,44.538,44.121
20.762,38.0,0.02632,44.53,44.118
20.778,37.0,0.02703,44.521,44.114
20.794,38.0,0.02632,44.512,44.111
20.81,40.0,0.025,44.504,44.108
20.826,35.0,0.02857,44.496,44.105
20.842,38.0,0.02632,44.488,44.102
20.858,47.0,0.02128,44.48,44.098
20.874,51.0,0.01961,44.472,44.095
20.89,47.0,0.02128,44.465,44.092
20.906,46.0,0.02174,44.457,44.089
20.922,46.0,0.02174,44.45,44.085
20.938,44.0,0.02273,44.443,44.082
20.954,41.0,0.02439,44.436,44.079
20.97,46.0,0.02174,44.429,44.075
20.986,48.0,0.02083,44.422,44.072
21.002,48.0,0.02083,44.415,44.069
21.018,43.0,0.02326,44.409,44.066
21.034,40.0,0.025,44.402,44.062
21.05,38.0,0.02632,44.396,44.059
21.066,28.0,0.03571,44.389,44.056
21.082,36.0,0.02778,44.383,44.053
21.098,43.0,0.02326,44.377,44.049
21.114,37.0,0.02703,44.371,44.046
21.13,33.0,0.0303,44.365,44.043
21.146,32.0,0.03125,44.359,44.04
21.162,39.0,0.02564,44.353,44.036
21.178,46.0,0.02174,44.348,44.033
21.194,41.0,0.02439,44.342,44.03
21.21,35.0,0.02857,44.337,44.026
21.226,43.0,0.02326,44.331,44.023
21.242,46.0,0.02174,44.326,44.02
21.258,37.0,0.02703,44.32,44.017
21.274,45.0,0.02222,44.315,44.013
21.29,33.0,0.0303,44.31,44.01
21.306,40.0,0.025,44.305,44.007
21.322,38.0,0.02632,44.299,44.003
21.338,36.0,0.02778,44.294,44.0
21.354,47.0,0.02128,44.29,43.997
21.37,41.0,0.02439,44.285,43.993
21.386,36.0,0.02778,44.28,43.99
21.402,30.0,0.03333,44.275,43.987
21.418,53.0,0.01887,44.27,43.984
21.434,44.0,0.02273,44.266,43.98
21.45,42.0,0.02381,44.261,43.977
21.466,45.0,0.02222,44.256,43.974
21.482,48.0,0.02083,44.252,43.97
21.498,50.0,0.02,44.247,43.967
21.514,51.0,0.01961,44.266,43.964
21.53,47.0,0.02128,44.262,43.96
21.546,37.0,0.02703,44.258,43.957
21.562,37.0,0.02703,44.253,43.954
21.578,38.0,0.02632,44.249,43.95
21.594,39.0,0.02564,44.261,43.947
21.61,33.0,0.0303,44.257,43.944
21.626,43.0,0.02326,44.253,43.94
21.642,39.0,0.02564,44.249,43.937
21.658,52.0,0.01923,44.245,43.934
21.674,52.0,0.01923,44.241,43.93
21.69,36.0,0.02778,44.237,43.927
21.706,37.0,0.02703,44.233,43.924
21.722,42.0,0.02381,44.23,43.92
21.738,43.0,0.02326,44.226,43.917
21.754,47.0,0.02128,44.222,43.914
21.77,28.0,0.03571,44.219,43.91
21.786,53.0,0.01887,44.215,43.907
21.802,36.0,0.02778,44.211,43.904
21.818,41.0,0.02439,44.208,43.9
21.834,41.0,0.02439,44.204,43.897
21.85,42.0,0.02381,44.201,43.894
21.866,38.0,0.02632,44.197,43.89
21.882,43.0,0.02326,44.194,43.887
21.898,37.0,0.02703,44.191,43.884
21.914,44.0,0.02273,44.187,43.88
21.93,37.0,0.02703,44.184,43.877
21.946,45.0,0.02222,44.181,43.874
21.962,52.0,0.01923,44.178,43.87
21.978,38.0,0.02632,44.174,43.867
21.994,48.0,0.02083,44.171,43.863
22.01,47.0,0.02128,44.168,43.86
22.026,40.0,0.025,44.165,43.857
22.042,52.0,0.01923,44.162,43.853
22.058,59.0,0.01695,44.159,43.85
22.074,44.0,0.02273,44.156,43.847
22.09,38.0,0.02632,44.153,43.843
22.106,37.0,0.02703,44.15,43.84
22.122,43.0,0.02326,44.147,43.836
22.138,47.0,0.02128,44.144,43.833
22.154,44.0,0.02273,44.141,43.83
22.17,42.0,0.02381,44.138,43.826
22.186,41.0,0.02439,44.136,43.823
22.202,46.0,0.02174,44.133,43.82
22.218,38.0,0.02632,44.13,43.816
22.234,35.0,0.02857,44.127,43.813
22.25,42.0,0.02381,44.125,43.809
22.266,43.0,0.02326,44.122,43.806
22.282,43.0,0.02326,44.12,43.803
22.298,44.0,0.02273,44.117,43.799
22.314,36.0,0.02778,44.114,43.796
22.33,36.0,0.02778,44.112,43.792
22.346,42.0,0.02381,44.11,43.789
22.362,47.0,0.02128,44.107,43.786
22.378,47.0,0.02128,44.105,43.782
22.394,41.0,0.02439,44.102,43.779
22.41,45.0,0.02222,44.1,43.775
22.426,44.0,0.02273,44.098,43.772
22.442,37.0,0.02703,44.095,43.768
22.458,29.0,0.03448,44.093,43.765
22.474,42.0,0.02381,44.091,43.762
22.49,49.0,0.02041,44.089,43.758
22.506,45.0,0.02222,44.087,43.755
22.522,57.0,0.01754,44.085,43.751
22.538,44.0,0.02273,44.109,43.748
22.554,39.0,0.02564,44.107,43.745
22.57,40.0,0.025,44.105,43.741
22.586,40.0,0.025,44.103,43.738
22.602,48.0,0.02083,44.119,43.734
